run_id,type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
1,read,430.6,467.5,187.4,258.6,284.2,407.9,443.6,463.6,478.0,495.8,517.3,553.9,697.9,6976.2,24383.7,5001.4,5000
1,read,489.5,593.5,173.5,246.1,268.5,470.8,538.8,572.3,593.7,620.8,652.8,708.8,869.4,6363.4,29617.2,10017.0,10000
1,read,509.8,408.7,173.5,245.5,269.8,488.0,580.3,626.7,661.2,702.2,749.3,824.0,986.9,3907.5,9874.3,14997.2,15000
1,read,540.7,374.0,160.7,240.6,266.4,512.8,608.5,666.6,714.1,769.7,832.1,915.3,1081.1,3887.3,15457.8,20044.4,20000
1,read,568.2,402.2,160.7,244.8,271.7,543.1,640.0,704.2,752.4,812.0,883.7,978.2,1157.0,3691.7,10177.8,24971.0,25000
1,read,594.0,786.9,160.7,252.0,278.1,555.4,660.2,722.7,772.2,836.0,917.0,1025.6,1254.1,5031.7,34601.9,30014.8,30000
1,read,586.9,364.1,173.5,252.1,279.9,552.1,666.6,733.2,784.0,847.3,929.7,1048.0,1282.4,3584.4,13503.1,34863.2,35000
1,read,600.7,389.1,173.5,257.3,287.3,571.1,687.3,750.6,798.4,856.9,931.5,1048.7,1252.5,3894.0,15087.7,39886.6,40000
1,read,600.8,392.3,173.5,261.2,291.9,536.6,659.8,742.6,808.0,887.5,985.1,1134.1,1448.2,2732.6,14535.0,44849.6,45000
1,read,832.2,565.9,173.5,317.4,384.5,779.0,929.1,999.2,1050.0,1110.8,1244.5,1686.3,2081.9,6770.5,20270.2,50160.6,50000
1,read,1359.8,933.7,187.4,956.6,1009.7,1156.5,1226.1,1274.2,1386.2,2051.6,2183.4,2312.8,2535.0,15488.3,32744.0,49466.4,55000
2,read,431.8,739.7,187.4,255.4,279.9,396.4,431.4,450.9,463.9,480.0,500.8,536.9,688.6,8682.9,36541.0,4965.0,5000
2,read,473.0,252.9,160.7,244.1,266.7,463.9,533.9,567.9,589.5,616.2,646.2,699.2,851.4,3851.3,7933.6,10045.2,10000
2,read,512.0,245.6,160.7,240.2,265.2,499.7,595.2,641.0,677.5,718.1,766.6,836.2,972.7,2404.5,8004.0,15139.4,15000
2,read,535.1,355.1,160.7,242.1,267.5,503.9,599.4,658.3,705.1,757.2,818.6,903.2,1061.3,5060.3,13750.4,19922.4,20000
2,read,553.6,358.2,173.5,242.7,267.9,519.8,618.5,679.4,730.8,794.7,877.0,985.4,1221.0,3937.2,12042.0,24960.4,25000
2,read,579.5,367.9,160.7,245.9,273.1,558.2,659.3,719.3,765.7,826.6,907.7,1012.3,1195.6,3162.4,13691.9,29974.4,30000
2,read,581.3,383.2,160.7,250.8,277.0,524.8,639.7,716.3,776.9,856.5,955.7,1093.0,1427.2,3749.5,13481.8,34904.4,35000
2,read,612.3,455.0,173.5,256.8,286.0,560.1,686.0,762.1,816.1,880.9,966.2,1090.9,1440.7,5444.6,17282.5,40000.8,40000
2,read,614.6,377.3,173.5,266.3,300.5,581.0,701.2,768.7,816.9,875.9,950.6,1067.7,1283.3,3226.7,14803.5,44937.1,45000
2,read,699.0,446.3,173.5,297.1,347.3,655.6,788.1,858.9,911.6,975.6,1062.7,1208.3,1571.8,4213.0,16123.4,49897.6,50000
2,read,1402.0,964.0,173.5,1022.9,1057.3,1203.0,1262.9,1311.3,1375.7,2088.7,2266.9,2394.7,2563.4,19032.3,31048.3,48053.8,55000
3,read,407.7,288.1,173.5,252.1,278.1,396.5,431.6,451.5,464.7,480.9,500.5,533.2,620.4,4090.5,12327.6,4918.6,5000
3,read,466.7,310.9,160.7,244.1,266.4,456.7,524.8,557.2,579.9,605.4,635.6,686.5,800.4,4993.9,11953.2,10013.4,10000
3,read,513.3,413.0,160.7,243.6,268.2,480.8,573.9,621.3,656.0,699.3,751.4,830.4,1040.9,5275.4,12753.7,15017.0,15000
3,read,527.9,326.1,160.7,242.5,266.9,492.9,590.5,647.0,694.7,752.7,821.5,919.0,1133.5,2384.2,13953.1,19964.2,20000
3,read,558.2,401.7,160.7,244.3,269.2,522.1,622.5,685.2,737.4,800.8,880.1,986.7,1238.1,4411.4,17760.2,24927.8,25000
3,read,567.7,373.4,160.7,246.8,270.8,521.3,627.9,698.6,756.4,829.2,920.7,1051.4,1342.2,4070.1,13689.8,30007.8,30000
3,read,585.9,370.7,160.7,250.7,277.9,530.5,647.5,724.5,785.3,862.5,961.0,1100.8,1427.6,2739.4,14371.7,34970.2,35000
3,read,602.1,357.4,160.7,256.5,287.4,573.3,689.9,755.2,802.1,861.6,937.0,1055.2,1256.1,3742.8,13723.4,39931.8,40000
3,read,614.7,340.6,173.5,265.5,299.6,575.2,698.7,770.9,823.7,886.2,965.6,1084.0,1339.1,1919.5,12434.5,45042.8,45000
3,read,759.9,506.8,173.5,308.9,369.7,709.2,843.4,920.7,980.5,1057.0,1170.4,1386.3,1796.3,3957.3,24076.1,50046.6,50000
3,read,1367.6,970.5,173.5,967.3,1018.4,1151.8,1219.3,1275.2,1606.6,2060.4,2174.2,2304.2,2545.2,16749.8,31351.9,49357.8,55000
