run_id,type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
1,read,3355.6,3043.6,187.4,908.0,970.3,3273.3,3419.9,3488.9,3830.6,3901.3,3972.0,4042.7,21748.4,35272.8,53153.9,5012.2,5000
1,read,2581.8,2148.9,173.5,307.6,355.0,3273.7,3388.1,3442.0,3475.6,3698.0,3866.8,3986.6,6409.2,29689.5,34800.7,10001.2,10000
1,read,1837.4,1828.3,173.5,301.5,353.5,845.5,3251.8,3331.0,3380.6,3430.1,3479.6,3744.9,4053.0,23539.6,36751.7,14959.6,15000
1,read,1828.1,3427.2,173.5,317.9,383.3,767.6,1162.0,3251.0,3349.8,3448.6,3607.1,3904.5,20365.0,37470.9,47774.1,20024.8,20000
1,read,1741.1,3409.8,173.5,325.6,395.3,787.0,1043.7,1462.2,3302.9,3435.5,3622.6,4058.5,24019.3,37160.8,42625.9,24893.6,25000
1,read,3071.7,4350.7,255.0,947.6,1020.1,1281.0,2333.3,4873.4,5003.4,5150.6,5818.3,6435.5,30392.1,40045.3,58953.6,25826.4,30000
1,read,2963.6,4330.6,202.4,907.2,961.5,1190.0,2097.0,4816.0,4955.8,5095.5,5804.5,8909.9,30473.8,38650.0,46523.0,26872.8,35000
1,read,2934.9,4227.1,202.4,903.7,959.3,1195.2,2132.3,4834.2,4959.4,5084.6,5716.2,6325.3,30529.0,37466.2,43839.3,26996.4,40000
1,read,2986.6,4253.3,275.4,931.4,981.9,1219.6,2169.9,4842.1,4972.4,5102.6,5787.9,8649.1,30270.0,37605.4,50517.1,26581.6,45000
1,read,3062.8,4369.2,321.2,952.4,1013.6,1266.7,2214.6,4848.3,4993.4,5183.6,5944.0,9025.5,30622.8,37788.3,50753.7,25876.2,50000
1,read,2805.8,4093.9,218.6,889.9,939.7,1142.9,1988.3,4796.1,4923.0,5050.0,5659.8,6286.6,29646.0,37396.2,43529.5,28145.2,55000
2,read,3302.5,2812.6,202.4,906.0,968.6,3279.5,3424.6,3662.6,3835.7,3903.6,3971.5,4039.5,18715.2,33563.7,42674.2,4960.8,5000
2,read,2558.3,2096.0,173.5,304.7,353.7,3277.9,3392.2,3446.0,3479.6,3694.7,3861.4,3982.7,5450.2,27357.6,40993.3,9973.0,10000
2,read,1855.5,1971.0,173.5,303.3,355.0,818.8,3249.5,3335.8,3389.7,3443.5,3528.0,3828.1,4069.8,26890.5,32781.5,15011.4,15000
2,read,1796.2,3312.1,173.5,318.7,384.7,754.7,1160.8,3248.6,3343.8,3439.0,3588.0,3863.6,16923.0,36946.7,43264.0,20009.6,20000
2,read,1713.7,3275.5,173.5,328.3,394.5,786.8,1045.7,1480.3,3302.4,3433.8,3621.0,4052.0,18259.6,36925.4,42230.6,24925.9,25000
2,read,2770.6,4212.0,202.4,829.2,895.2,1130.3,1936.5,4750.1,4895.2,5040.2,5652.8,6444.0,29494.7,40460.2,59067.5,28159.2,30000
2,read,3061.5,4374.9,202.4,935.0,989.9,1244.3,2222.2,4854.2,4988.9,5123.7,5832.9,8882.6,30385.0,38014.3,48174.2,25983.6,35000
2,read,3030.0,4258.8,255.0,928.8,993.1,1256.5,2236.2,4855.5,4985.2,5114.8,5821.3,8735.1,29898.1,37863.1,49676.3,26151.0,40000
2,read,2898.6,4125.9,404.6,903.2,957.9,1185.6,2137.1,4837.8,4956.5,5075.1,5676.4,6186.7,29918.7,37933.7,49657.1,27248.8,45000
2,read,2905.9,4274.6,550.5,897.0,949.2,1170.6,2049.0,4810.4,4945.7,5081.1,5730.5,6447.8,30585.5,37769.8,43698.8,27397.4,50000
2,read,3008.4,4392.1,255.0,923.6,974.3,1220.3,2149.5,4833.9,4971.1,5108.3,5801.9,8826.1,30641.7,38643.7,52485.0,26616.4,55000
3,read,3310.1,2896.4,187.4,909.0,972.1,3304.4,3431.3,3506.7,3831.2,3901.2,3971.3,4041.3,18936.6,35880.2,43713.3,4980.4,5000
3,read,2643.6,2470.4,173.5,307.4,357.5,3291.3,3403.4,3456.2,3489.1,3776.9,3886.1,3995.2,7671.8,31348.8,37471.1,9986.2,10000
3,read,1842.5,2003.6,173.5,304.8,356.3,803.3,3248.9,3335.9,3390.2,3444.6,3529.5,3791.2,4066.7,26731.9,38679.0,15063.2,15000
3,read,1742.4,2995.9,160.7,318.4,381.2,745.7,1246.3,3252.3,3346.2,3440.2,3585.5,3828.0,9940.0,36376.5,40126.2,19920.2,20000
3,read,1697.5,3245.6,160.7,329.3,397.2,801.7,1063.8,1448.3,3297.1,3432.8,3620.0,3999.5,16058.4,35979.9,39829.9,25025.2,25000
3,read,2961.1,4250.0,218.6,908.9,966.4,1210.2,2175.5,4845.0,4967.3,5089.7,5728.5,6308.8,30203.3,37999.6,50013.5,26870.0,30000
3,read,2893.3,4254.4,202.4,894.6,948.1,1168.9,2076.7,4817.1,4943.4,5069.6,5688.7,6301.9,29977.5,38738.9,51339.3,27568.6,35000
