run_id,type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
1,read,521.4,1039.1,187.4,255.3,284.2,428.6,484.1,511.0,532.0,554.7,589.1,648.6,3085.2,12913.9,32322.9,5002.8,5000
1,read,590.6,1192.4,173.5,244.9,270.7,488.0,582.6,634.2,671.8,714.9,769.8,860.4,3167.1,12640.4,37935.7,10003.0,10000
1,read,664.9,1176.4,173.5,245.4,272.4,535.0,652.3,726.1,780.1,841.6,917.3,1041.6,4316.1,15284.7,37290.7,15054.2,15000
1,read,620.1,565.0,173.5,243.4,268.5,549.4,675.2,757.0,821.8,897.6,990.5,1124.9,1539.8,8125.6,21321.8,19985.0,20000
1,read,677.3,784.0,173.5,249.0,278.4,603.8,731.9,808.4,867.9,941.7,1032.3,1164.4,2028.5,10416.4,29949.9,24961.8,25000
1,read,735.3,1115.0,173.5,252.6,281.0,590.9,740.4,834.4,910.6,1002.9,1117.2,1327.0,3493.9,13768.6,36170.3,30055.0,30000
1,read,702.7,776.8,173.5,255.9,290.0,633.4,778.7,857.7,916.7,987.3,1077.9,1218.0,1942.3,12143.7,31095.1,34982.6,35000
1,read,719.9,867.5,160.7,255.1,291.1,614.7,773.4,864.7,933.6,1013.3,1123.4,1326.8,2118.4,12392.8,30602.0,39935.8,40000
1,read,1583.5,1190.9,173.5,1133.3,1194.9,1351.1,1424.9,1475.0,1541.8,2100.6,2512.2,2698.4,3046.9,22639.7,34130.3,42716.6,45000
1,read,1598.1,1368.1,173.5,1127.1,1174.1,1322.8,1383.5,1460.6,1559.9,2309.7,2495.1,2672.7,3917.7,27046.0,36463.6,42866.8,50000
1,read,1426.2,1061.2,187.4,1029.7,1060.9,1198.3,1264.7,1326.4,1422.8,2118.0,2278.6,2412.0,2720.5,19494.2,32383.8,47613.8,55000
2,read,525.5,1075.1,187.4,252.4,283.5,425.8,479.4,506.7,528.1,550.6,587.2,650.9,3607.9,19013.3,40226.7,4981.2,5000
2,read,600.3,1116.4,173.5,248.6,274.7,499.6,593.3,642.9,678.8,720.0,772.3,860.1,3358.6,14218.5,35843.2,9958.6,10000
2,read,619.7,761.6,173.5,247.7,277.7,548.2,663.5,733.5,784.0,839.3,904.3,998.9,1783.7,10942.2,31836.3,14855.6,15000
2,read,689.6,1107.5,173.5,244.5,272.4,574.8,698.0,779.2,842.9,915.7,1003.7,1141.3,3219.1,13248.9,35769.7,19877.6,20000
2,read,656.6,747.3,173.5,244.4,271.6,583.3,715.9,795.3,856.9,932.3,1024.0,1160.3,1710.2,11487.2,31507.9,24968.2,25000
2,read,659.1,628.5,173.5,247.8,275.9,592.4,734.2,812.4,871.0,949.6,1049.0,1187.5,1646.8,9326.7,28523.3,29989.8,30000
2,read,673.4,803.4,160.7,246.0,274.6,567.0,718.2,814.9,889.3,981.7,1098.0,1300.1,1891.5,12783.4,34878.0,34763.0,35000
2,read,734.5,731.8,173.5,266.0,309.1,672.4,822.4,902.7,959.4,1025.7,1113.3,1270.3,1968.7,10155.2,29855.2,39960.6,40000
2,read,846.6,768.3,160.7,286.1,352.8,764.2,936.4,1025.9,1084.4,1160.0,1274.1,1630.7,2336.7,11163.4,30497.7,44916.7,45000
2,read,1559.8,1190.0,187.4,1127.4,1178.1,1322.6,1380.7,1448.8,1499.8,2245.6,2485.6,2659.6,3023.4,21173.1,36910.0,43686.8,50000
2,read,1523.9,1085.3,173.5,1110.2,1142.9,1285.0,1359.7,1415.4,1489.3,2235.8,2437.4,2572.5,2950.2,18564.2,34043.3,44646.8,55000
3,read,554.0,1437.0,173.5,250.8,280.8,420.3,474.2,501.8,522.8,546.9,583.2,647.9,3712.1,30514.2,38457.7,4969.2,5000
3,read,583.5,1107.1,173.5,249.4,275.4,503.2,597.0,647.7,683.7,726.0,778.5,859.4,1687.8,15181.5,47810.9,9942.0,10000
3,read,607.8,668.4,173.5,248.3,276.1,545.5,657.9,728.6,780.1,837.4,903.8,996.5,1328.7,8670.1,30633.8,15138.6,15000
3,read,668.0,942.2,173.5,246.5,272.1,565.4,687.9,771.7,836.3,909.5,996.1,1132.4,2189.8,12666.1,32014.6,19922.8,20000
3,read,626.3,494.1,173.5,245.3,271.4,573.1,705.5,781.9,842.9,921.4,1017.6,1151.9,1495.4,5226.1,18821.8,25107.8,25000
3,read,675.8,759.8,173.5,251.6,279.1,589.6,736.6,819.5,883.0,965.6,1072.5,1240.4,1859.7,11604.8,30115.1,29999.8,30000
3,read,734.7,959.7,173.5,253.7,285.8,605.8,767.3,864.2,937.9,1026.1,1141.0,1347.6,2456.7,12859.4,31895.2,34966.6,35000
3,read,739.1,744.3,173.5,265.8,307.3,667.1,821.6,901.4,958.3,1026.5,1121.6,1280.1,2149.5,11275.2,32039.2,40039.2,40000
3,read,902.7,996.4,173.5,299.8,371.2,804.2,982.4,1069.6,1129.5,1202.3,1335.1,1755.8,2495.5,14424.1,36087.3,44951.2,45000
3,read,1502.1,1115.6,187.4,1101.6,1126.4,1265.7,1338.7,1380.2,1474.8,2221.0,2405.5,2536.1,2905.1,20856.8,33412.7,45170.8,50000
3,read,1501.9,1156.2,202.4,1102.2,1125.2,1261.2,1333.7,1378.6,1474.2,2222.4,2398.1,2532.7,2949.0,20589.3,34915.2,45406.0,55000
