run_id,type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
1,read,409.7,280.0,173.5,257.5,282.6,396.9,431.8,450.9,463.7,479.6,501.5,537.7,630.2,4216.2,8973.8,4956.0,5000
1,read,465.2,388.4,173.5,244.1,265.2,450.3,517.0,549.7,573.5,598.5,630.9,681.2,834.6,5429.7,19222.1,10067.2,10000
1,read,499.4,314.9,160.7,240.1,263.8,475.2,570.0,617.2,649.2,689.5,740.7,812.2,990.0,4377.2,10458.6,14997.4,15000
1,read,534.5,415.5,160.7,239.4,264.2,496.4,595.3,653.2,700.3,759.1,827.9,924.8,1157.2,4532.8,12901.7,20029.6,20000
1,read,553.2,333.2,160.7,242.3,266.2,507.2,618.4,687.2,744.6,812.2,898.4,1016.7,1284.4,3166.8,10672.9,24928.4,25000
1,read,583.1,392.7,160.7,246.3,272.1,552.6,661.4,726.5,777.3,840.2,917.5,1023.4,1265.3,4152.5,10904.6,30056.0,30000
1,read,592.9,358.7,160.7,248.6,276.7,558.7,675.1,742.6,794.7,857.6,935.2,1050.7,1306.8,3960.2,13282.1,35037.2,35000
1,read,597.6,373.8,160.7,250.3,281.1,560.3,680.3,750.7,801.4,862.9,941.3,1064.7,1327.9,3541.8,13918.8,40234.4,40000
1,read,626.4,385.0,160.7,259.8,295.0,584.2,713.8,785.4,838.2,900.4,980.2,1099.0,1403.4,4278.4,14368.8,44974.0,45000
1,read,634.9,403.5,173.5,270.6,310.7,582.4,711.3,788.3,847.8,917.9,1005.1,1140.0,1432.0,3377.1,15675.8,49863.6,50000
1,read,1332.0,857.6,173.5,928.8,977.1,1139.6,1206.4,1267.6,1432.0,2008.1,2140.2,2276.0,2498.9,14190.8,29477.5,50290.4,55000
2,read,421.7,1430.1,173.5,255.6,281.7,397.6,433.2,452.5,465.1,481.5,502.5,538.4,638.4,5388.6,12478.4,4914.4,5000
2,read,469.5,316.9,173.5,245.0,266.3,460.8,529.6,563.7,586.5,613.0,641.4,692.1,828.3,3951.5,16705.6,9993.2,10000
2,read,506.2,357.6,160.7,240.6,265.4,480.4,573.7,620.5,653.9,694.6,746.0,819.7,1001.1,4201.3,17683.6,15045.8,15000
2,read,531.7,352.5,160.7,237.8,262.9,504.8,600.2,657.0,701.3,751.8,812.0,901.0,1070.6,3333.8,12602.8,19963.2,20000
2,read,560.1,311.1,160.7,241.5,268.0,537.7,632.7,690.4,738.7,798.4,873.6,969.8,1152.3,2969.2,10129.3,24931.8,25000
2,read,571.5,364.2,160.7,242.1,267.4,542.4,647.4,709.1,756.2,819.7,903.4,1012.6,1259.6,3801.3,10142.9,30059.6,30000
2,read,588.1,383.3,160.7,247.3,275.9,562.9,673.0,733.8,781.4,841.4,919.4,1031.0,1236.2,2316.6,17967.4,34874.4,35000
2,read,592.5,360.8,173.5,248.3,277.7,547.2,672.1,743.6,797.0,862.3,946.3,1076.5,1392.3,2536.2,11986.5,39770.4,40000
2,read,622.6,358.0,160.7,261.0,298.8,592.3,711.8,777.7,826.0,883.8,959.9,1076.0,1321.9,2922.4,13135.2,44903.2,45000
2,read,733.8,479.8,160.7,285.9,339.7,675.9,828.2,909.4,965.2,1028.5,1113.4,1333.3,1956.9,4629.6,17142.4,49959.0,50000
2,read,1335.5,854.4,173.5,957.3,1004.3,1142.0,1197.4,1257.8,1360.7,2049.3,2159.8,2286.0,2481.7,12283.1,30005.4,50029.2,55000
3,read,438.1,588.9,173.5,262.7,290.6,411.6,449.4,468.3,483.3,499.7,521.8,555.7,672.5,7732.8,32112.2,5026.2,5000
3,read,479.1,371.9,160.7,243.8,265.4,466.3,534.4,567.9,589.9,617.5,649.9,704.6,855.2,4549.9,12913.5,10019.6,10000
3,read,505.5,303.1,160.7,242.7,267.1,482.0,575.2,623.3,658.0,698.3,747.9,824.0,998.7,3236.8,11738.4,14996.4,15000
3,read,537.3,320.3,160.7,239.9,265.2,507.4,610.2,669.9,715.3,768.9,837.5,932.7,1147.8,2097.2,10277.8,19939.4,20000
3,read,561.8,354.3,173.5,243.2,267.9,523.4,627.9,691.0,742.8,808.2,895.8,1010.6,1264.2,4305.6,10945.8,24932.4,25000
3,read,578.7,433.1,160.7,242.8,269.5,543.9,652.0,715.5,765.4,831.5,916.6,1028.6,1275.4,3849.4,18599.6,29915.6,30000
3,read,589.7,396.2,160.7,247.0,275.9,566.1,674.3,734.6,782.2,841.3,919.4,1034.3,1235.3,2844.6,16432.3,35003.6,35000
3,read,596.0,362.8,160.7,249.0,278.4,560.5,680.6,749.8,803.5,866.5,943.2,1065.6,1302.5,2361.6,15807.4,39840.4,40000
3,read,634.2,441.9,160.7,262.3,299.9,597.9,720.0,786.3,836.2,896.0,974.0,1092.1,1364.4,5085.1,18002.8,45094.4,45000
3,read,595.5,378.6,160.7,258.5,291.1,527.8,653.9,743.5,816.6,896.1,985.9,1108.1,1365.3,2454.4,13830.6,49835.4,50000
3,read,1347.9,987.8,173.5,955.4,999.5,1144.2,1204.4,1260.8,1360.0,2038.1,2153.2,2286.4,2502.6,18405.9,31848.5,50097.6,55000
