#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      352.6   209.5   148.8   209.9   224.6   322.7   383.3   418.2   442.6   469.8   505.7   563.4   697.3  1737.3  8106.6  29918.1    30000  1715447310720  1715447320889
read      353.3   223.2   148.8   210.7   225.3   322.8   382.2   416.8   441.1   469.0   505.2   562.3   697.0  1751.4  8586.4  30011.1    30005  1715447322399  1715447332537
read      345.4   238.0   160.7   209.3   223.6   315.6   370.6   403.1   427.5   455.9   491.6   544.7   675.1  2093.9 10037.2  29988.7    30010  1715447334046  1715447344163
read      337.9   199.6   160.7   208.2   221.6   312.9   366.8   397.8   420.5   446.3   477.2   525.7   640.2  1439.9  8032.5  30013.3    30015  1715447345672  1715447355789
read      353.5   231.3   148.8   211.5   225.8   324.2   382.0   416.3   440.4   467.5   502.2   555.6   683.7  2296.3  9495.7  29976.9    30020  1715447357297  1715447367415
read      354.8   195.2   160.7   211.1   225.7   328.5   389.7   423.8   447.6   473.4   506.7   559.8   689.6  1319.6  8569.4  30088.1    30025  1715447368923  1715447379036
read      341.1   189.0   160.7   211.5   225.1   314.8   367.9   398.9   422.2   449.4   483.6   535.6   641.7  1281.1  7981.0  30034.3    30030  1715447380545  1715447390665
read      354.6   218.8   148.8   211.7   226.2   323.3   384.0   418.9   443.4   471.1   507.7   566.7   703.9  1808.7  8492.4  30031.9    30035  1715447392174  1715447402304
read      329.0   196.3   160.7   208.6   221.7   305.2   352.3   379.5   399.3   424.5   457.6   507.3   617.7  1500.4  8503.0  30058.7    30040  1715447403813  1715447413939
read      353.4   209.5   148.8   209.2   223.5   326.3   388.6   423.1   447.0   472.7   506.1   558.5   685.7  1170.0  8758.7  30067.4    30045  1715447415446  1715447425565
read      351.5   224.4   160.7   209.4   223.8   322.3   381.0   415.6   440.3   468.4   504.5   560.6   686.6  1373.3  9255.3  30065.5    30050  1715447427073  1715447437190
read      350.5   219.7   148.8   210.6   224.7   320.7   380.3   413.8   437.5   465.5   500.1   550.0   684.3  1958.0  8111.4  30075.1    30055  1715447438698  1715447448818
read      353.0   238.5   148.8   209.3   223.6   320.2   381.5   416.8   441.7   470.2   507.2   567.0   708.6  2319.1  9482.8  30015.2    30060  1715447450326  1715447460439
read      349.0   213.2   160.7   210.0   224.1   321.2   378.5   411.7   435.6   464.3   500.3   553.3   672.5  1359.2  8667.3  30021.2    30065  1715447461945  1715447472062
read      361.8   250.0   160.7   212.1   227.8   332.1   392.9   427.3   452.3   480.9   517.2   575.3   713.6  1734.1 12210.7  30159.0    30070  1715447473572  1715447483697
read      357.2   234.5   148.8   209.8   224.8   325.9   387.4   422.8   448.2   477.1   513.9   575.9   718.5  2132.1  8597.6  30071.8    30075  1715447485205  1715447495324
