#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      322.9   214.0   160.7   212.7   226.0   300.5   342.5   368.0   386.9   408.1   434.5   471.2   555.8  1845.7 11621.9  29903.1    30000  1715179851501  1715179861661
read      338.5   236.8   160.7   213.9   227.7   308.6   354.3   381.8   401.5   426.2   457.1   505.3   707.5  3512.2  8471.4  29938.4    30005  1715179863169  1715179873307
read      352.2   373.0   160.7   215.4   229.3   316.4   364.7   392.5   412.8   436.6   468.1   520.3   713.0  6616.9 15282.7  30026.0    30010  1715179874814  1715179884933
read      390.3   727.7   160.7   215.9   229.3   318.4   371.3   402.2   426.5   456.1   497.0   574.6   891.7 12311.9 24799.9  29974.4    30015  1715179886440  1715179896551
read      359.8   640.7   160.7   211.0   224.0   300.8   347.5   376.6   399.0   426.2   461.7   524.7   808.7  8587.1 30917.7  30004.3    30020  1715179898058  1715179908168
read      353.2   465.8   160.7   213.6   226.5   304.8   352.2   381.3   402.4   429.3   463.4   519.9   763.8  7156.1 18884.5  30066.1    30025  1715179909674  1715179919785
read      350.8   470.0   160.7   209.7   222.8   301.5   349.5   378.5   400.2   427.0   461.0   515.4   760.1  7549.9 17469.1  30052.9    30030  1715179921293  1715179931399
read      359.0   516.2   160.7   212.9   226.1   308.2   356.5   385.7   406.7   433.0   466.9   526.5   761.8  9587.0 19984.7  30019.9    30035  1715179932906  1715179943014
read      325.5   357.0   160.7   207.3   219.7   289.2   333.1   361.0   381.4   405.3   436.2   483.8   603.8  5616.5 15623.5  30121.6    30040  1715179944521  1715179954630
read      319.0   313.9   160.7   206.5   218.9   286.3   328.1   355.3   375.4   399.8   430.4   474.5   586.1  4130.6 14213.9  30101.4    30045  1715179956137  1715179966248
read      326.2   293.8   160.7   211.2   223.8   295.1   336.4   362.1   381.1   403.6   433.4   477.7   617.7  4865.3 10901.6  30046.0    30050  1715179967754  1715179977867
read      367.1   431.6   160.7   214.7   228.9   320.9   372.9   403.2   426.1   453.4   490.3   558.3   867.8  7332.8 19301.5  30012.7    30055  1715179979373  1715179989482
read      313.5   220.4   160.7   206.8   219.7   286.6   326.2   352.2   372.1   396.0   425.1   466.6   570.2  2716.2  9106.9  30048.0    30060  1715179990987  1715180001098
read      326.8   203.8   148.8   209.6   224.5   305.5   348.8   374.3   393.5   415.4   442.6   484.3   584.6  1623.4  8375.2  30100.1    30065  1715180002606  1715180012720
read      325.2   199.7   160.7   212.0   225.8   303.6   345.8   371.4   390.5   412.2   439.1   479.1   570.8  1586.7  8573.2  30002.0    30070  1715180014228  1715180024340
read      329.0   195.7   160.7   215.2   228.4   308.0   351.5   377.2   395.9   417.6   444.0   483.7   570.5  1749.3  8377.7  29969.4    30075  1715180025847  1715180035959
read      327.0   206.9   160.7   209.6   224.0   307.1   351.0   376.2   395.1   416.8   443.2   483.3   578.1  1331.3 10173.6  30035.5    30080  1715180037465  1715180047574
read      329.9   197.3   148.8   211.1   225.3   309.3   355.8   382.1   400.3   422.7   450.1   491.7   587.0  1151.7  8020.5  30134.5    30085  1715180049080  1715180059191
