#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      310.3   209.7   160.7   212.7   224.9   290.0   325.4   346.9   364.3   384.2   409.0   446.8   515.6  1695.5 11429.2  29981.3    30000  1715597440746  1715597450919
read      333.0   239.5   160.7   219.3   230.3   301.7   342.8   368.2   387.5   410.0   440.7   491.3   715.3  3511.9  8287.7  29946.2    30005  1715597452427  1715597462564
read      347.1   484.0   173.5   216.9   227.7   301.5   344.9   370.6   390.3   414.5   448.8   502.1   702.1  7942.1 19102.5  30012.8    30010  1715597464071  1715597474190
read      356.1   888.2   173.5   217.5   227.4   296.3   338.7   367.2   389.9   417.7   453.7   506.8   691.0 11108.7 51618.4  29963.5    30015  1715597475698  1715597485820
read      338.1   448.6   173.5   214.2   225.4   298.9   342.6   367.7   386.5   408.3   439.3   489.7   670.4  7366.2 17085.3  29970.1    30020  1715597487329  1715597497450
read      319.0   325.9   173.5   213.0   223.2   284.7   324.0   349.8   369.4   393.2   424.2   469.6   567.4  4666.0 12798.7  30059.9    30025  1715597498961  1715597509083
read      315.1   379.7   173.5   210.5   221.0   277.6   315.2   340.4   360.9   385.9   418.2   464.7   571.2  4682.2 16281.1  29974.8    30030  1715597510592  1715597520710
read      325.5   277.2   160.7   214.5   225.4   295.3   337.8   363.5   382.5   404.7   435.1   479.5   595.0  3793.1 10250.8  30008.6    30035  1715597522218  1715597532336
read      306.7   251.6   160.7   206.9   217.5   276.2   315.5   340.2   359.2   381.9   412.1   457.4   546.9  3631.7 10209.9  30021.0    30040  1715597533845  1715597543964
read      330.2   460.5   160.7   210.9   222.1   289.3   330.5   356.7   376.3   401.3   434.0   483.8   656.8  7702.1 19614.1  30065.0    30045  1715597545473  1715597555582
read      329.4   447.5   160.7   211.2   222.2   284.1   322.6   348.8   369.7   395.4   428.9   480.9   700.8  7345.0 18841.5  30033.2    30050  1715597557093  1715597567213
read      312.5   222.7   160.7   210.1   222.1   288.6   326.4   348.7   366.3   387.0   413.5   454.3   563.5  2064.1  9057.8  30097.9    30055  1715597568721  1715597578842
read      308.6   217.8   160.7   211.7   223.1   284.7   320.0   343.2   361.3   382.6   409.9   450.8   526.8  2419.3 10152.6  30057.7    30060  1715597580349  1715597590468
read      304.4   184.7   160.7   210.7   222.2   282.8   317.4   340.1   357.8   378.9   405.9   445.2   514.3  1498.3  9303.7  30079.4    30065  1715597591976  1715597602097
read      305.5   190.6   160.7   209.8   221.6   285.3   321.5   344.0   361.3   381.0   405.6   444.2   510.8  1300.6  8688.4  30033.5    30070  1715597603605  1715597613720
read      300.8   174.3   160.7   206.7   218.3   280.1   316.2   338.5   355.6   376.2   402.8   440.0   508.5  1244.3  8067.2  30101.9    30075  1715597615226  1715597625340
read      311.4   217.5   160.7   211.1   222.9   289.9   327.8   350.1   367.3   387.8   413.3   451.7   529.0  1993.1 10711.3  30177.0    30080  1715597626849  1715597636966
read      320.4   211.1   160.7   210.4   223.5   301.9   341.7   364.5   380.8   400.1   426.1   462.8   541.3  1839.4  8948.5  30100.1    30085  1715597638474  1715597648593
read      309.9   199.1   160.7   209.7   221.8   290.5   328.8   350.5   367.0   386.8   411.8   449.7   522.4  1511.8  8671.3  30192.2    30090  1715597650102  1715597660215
