run_idtype,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target,ts_start,ts_end
1,read,312.0,396.3,80.4,168.4,195.0,290.5,319.1,336.0,347.0,362.7,381.6,420.2,577.5,4306.4,18652.1,4926.0,5000,1715784946440,1715784951850
1,read,336.3,321.9,80.4,150.1,172.8,321.7,376.8,404.1,423.5,444.8,470.2,509.2,614.0,4032.4,12933.9,9930.0,10000,1715784953355,1715784958719
1,read,369.3,468.8,68.9,145.2,170.0,339.2,421.1,461.5,488.3,517.5,550.5,599.6,700.0,7725.8,22440.7,14965.6,15000,1715784960223,1715784965556
1,read,372.4,347.5,68.9,140.9,166.2,342.3,433.4,481.6,514.6,549.1,589.5,641.7,764.0,1299.2,18537.6,19877.8,20000,1715784967060,1715784972385
1,read,385.4,260.6,63.8,134.7,161.3,355.3,448.0,501.9,539.2,581.3,629.5,691.8,839.5,1333.1,10043.5,24965.2,25000,1715784973889,1715784979212
1,read,401.5,246.6,59.1,137.0,163.9,372.5,467.8,525.5,566.8,612.1,663.3,734.2,893.2,1403.7,9678.3,30053.6,30000,1715784980716,1715784986027
1,read,406.7,287.0,63.8,137.2,164.6,373.0,471.3,529.6,572.2,621.1,678.4,760.5,931.9,1271.2,11300.9,34971.7,35000,1715784987531,1715784992842
1,read,430.6,269.9,68.9,142.8,172.1,399.4,499.7,559.5,603.3,653.7,714.9,799.5,1005.9,1723.9,8136.4,40083.1,40000,1715784994347,1715784999645
1,read,430.9,274.1,63.8,144.4,171.7,400.2,502.6,563.6,608.1,659.4,721.1,805.6,959.7,1281.6,10182.3,45116.2,45000,1715785001150,1715785006452
1,read,437.2,245.7,68.9,145.7,174.5,403.7,506.5,569.0,616.1,672.4,741.6,840.3,1030.1,1360.8,6771.6,49987.2,50000,1715785007957,1715785013258
1,read,440.9,273.7,68.9,151.4,179.8,403.4,503.2,564.2,611.9,672.3,750.4,863.0,1070.7,1381.8,9591.6,54900.0,55000,1715785014762,1715785020057
1,read,462.7,268.5,63.8,154.8,188.5,433.2,538.0,594.6,638.0,692.7,767.0,875.0,1084.6,1418.1,8045.3,59734.8,60000,1715785021562,1715785026866
1,read,450.7,394.3,63.8,153.6,186.0,408.9,504.6,566.2,616.5,681.0,765.5,881.0,1100.0,1441.1,18425.6,65067.8,65000,1715785028371,1715785033679
1,read,467.3,301.6,68.9,162.7,200.7,433.5,530.4,587.2,632.1,689.4,768.6,883.2,1102.0,1468.6,10545.2,69724.6,70000,1715785035183,1715785040481
1,read,514.7,354.2,63.8,176.2,223.7,475.8,581.2,643.6,693.4,750.5,822.0,943.3,1323.8,2063.4,14615.6,74886.0,75000,1715785041986,1715785047282
1,read,842.4,456.3,74.4,470.5,612.4,772.8,819.1,852.4,873.2,943.2,1382.9,1529.5,1702.0,4209.0,19012.1,75272.2,80000,1715785048786,1715785054090
1,read,855.8,403.6,80.4,615.7,653.5,763.7,803.9,840.0,866.3,1047.3,1404.4,1510.6,1659.4,3824.0,13557.9,76271.6,85000,1715785055595,1715785060899
1,read,894.7,465.8,86.8,649.9,681.2,789.7,837.7,865.3,905.3,1205.5,1449.6,1567.0,1722.0,4007.8,19576.7,73794.4,90000,1715785062404,1715785067696
1,read,774.4,449.0,93.8,543.3,569.4,673.3,720.8,749.2,805.1,1151.2,1254.7,1345.2,1476.9,3202.9,20006.1,84966.4,95000,1715785069201,1715785074513
1,read,860.1,452.7,80.4,621.1,652.1,757.6,800.1,835.6,865.4,1193.0,1401.7,1501.5,1652.6,4301.8,18504.8,76762.2,100000,1715785076018,1715785081312
1,read,860.9,473.9,101.3,612.0,647.2,758.9,803.6,842.4,870.3,1194.0,1396.6,1501.2,1664.6,5254.6,18376.3,76832.7,105000,1715785082816,1715785088114
1,read,868.7,423.9,68.9,631.9,660.7,772.3,816.1,851.7,875.1,1110.3,1414.3,1529.3,1689.7,2982.2,18704.5,75827.8,110000,1715785089619,1715785094920
1,read,820.5,421.9,86.8,599.1,622.5,721.1,761.7,792.5,821.8,1198.1,1339.6,1439.3,1579.1,3838.2,16770.9,80306.8,115000,1715785096424,1715785101728
