run_id,type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target,ts_start,ts_end
1,read,318.5,491.4,86.8,172.6,197.3,287.5,314.8,330.1,341.0,354.6,371.7,403.4,876.8,7922.3,20932.2,4935.4,5000,1715787079040,1715787084493
1,read,327.8,360.8,74.4,153.4,176.6,321.7,364.9,386.2,399.9,417.2,436.5,468.6,547.5,3852.3,14512.2,9981.4,10000,1715787085997,1715787091387
1,read,329.1,266.5,68.9,137.8,158.9,324.4,387.6,416.3,434.9,456.4,481.3,517.3,597.7,1919.1,11563.8,14892.4,15000,1715787092892,1715787098244
1,read,330.1,240.1,68.9,126.3,146.9,315.4,399.0,435.7,458.4,483.1,510.6,549.6,637.9,1610.3,9513.3,19947.8,20000,1715787099748,1715787105097
1,read,328.3,235.1,68.9,120.5,139.3,300.7,396.1,443.3,472.4,503.3,538.4,585.4,680.7,1552.4,8632.0,24972.6,25000,1715787106601,1715787111949
1,read,327.9,210.4,63.8,119.4,138.3,297.7,391.3,443.0,475.2,508.2,543.9,591.2,691.0,1562.9,7707.7,30019.2,30000,1715787113454,1715787118802
1,read,330.1,241.4,63.8,116.1,134.1,294.9,388.9,444.9,481.0,520.9,565.3,623.4,744.2,1537.5,8545.1,35012.8,35000,1715787120307,1715787125623
1,read,326.2,232.3,68.9,115.8,134.3,293.9,380.3,434.0,471.2,512.3,557.3,616.6,734.0,1509.3,9940.6,39759.0,40000,1715787127127,1715787132439
1,read,322.5,184.8,63.8,118.1,136.5,293.0,373.2,426.6,464.4,506.1,551.9,613.0,724.6,1301.1,4441.3,45001.2,45000,1715787133944,1715787139259
1,read,332.8,208.8,63.8,121.5,141.2,308.3,388.8,436.2,470.3,509.3,557.0,619.2,738.3,1315.1,7539.9,49938.8,50000,1715787140763,1715787146079
1,read,330.0,237.1,63.8,120.2,139.1,302.5,384.2,432.7,467.9,508.8,556.1,620.1,737.6,1447.5,9520.0,55024.0,55000,1715787147583,1715787152912
1,read,337.2,200.0,63.8,123.6,143.4,312.7,395.0,441.9,475.7,516.1,563.5,628.2,748.0,1229.4,6977.4,60017.2,60000,1715787154416,1715787159737
1,read,332.4,214.6,63.8,121.4,140.2,302.8,386.4,434.4,469.6,509.9,560.2,633.2,796.1,1266.5,9595.2,64913.3,65000,1715787161242,1715787166554
1,read,345.7,216.2,63.8,124.7,145.2,317.0,401.9,450.9,486.7,529.3,581.3,658.8,833.5,1245.9,7640.4,69926.3,70000,1715787168059,1715787173379
1,read,334.2,205.4,63.8,127.6,146.4,300.1,383.5,432.3,468.6,512.3,567.7,644.5,824.9,1524.7,6594.9,74894.4,75000,1715787174883,1715787180190
