#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      325.6   445.5    80.4   154.9   186.9   295.0   331.2   350.9   365.6   383.6   409.1   462.6   836.9  7870.7 16616.5   4935.8     5000  1715786454207  1715786459694
read      327.6   286.2    68.9   134.2   158.8   314.1   369.7   399.7   421.3   446.2   477.9   528.7   644.1  1841.2 12924.1   9983.9    10000  1715786461201  1715786466617
read      371.9   232.6    68.9   131.7   154.7   353.0   437.7   485.4   517.2   551.4   591.4   647.6   778.5  1594.4  9858.5  15038.8    15000  1715786468122  1715786473463
read      396.4   282.9    63.8   126.5   148.8   359.2   469.7   536.3   581.5   627.4   680.9   767.2   945.9  1942.7 10249.4  20047.4    20000  1715786474968  1715786480284
read      398.1   289.1    63.8   121.5   143.3   347.4   476.2   551.3   600.6   650.6   709.7   805.7  1044.6  1587.1  7930.0  24938.6    25000  1715786481790  1715786487107
read      430.4   391.8    63.8   123.3   144.3   331.1   484.3   590.7   667.9   749.0   851.8   995.4  1237.2  3101.2 11667.1  29977.4    30000  1715786488611  1715786493923
read      420.2   338.4    63.8   123.1   143.1   306.2   458.2   573.1   673.5   773.6   880.0  1028.2  1260.0  1626.8 10153.2  35051.6    35000  1715786495427  1715786500728
read      433.8   364.2    63.8   126.2   145.6   302.8   450.1   569.0   688.5   814.1   949.3  1132.2  1383.6  1789.4 10006.1  39950.4    40000  1715786502232  1715786507542
read      437.5   405.1    59.1   125.0   144.3   293.8   420.2   532.2   654.3   820.0  1013.8  1236.8  1547.6  2047.2 10232.2  45041.4    45000  1715786509047  1715786514360
read      437.2   422.3    59.1   128.1   146.9   292.3   407.4   508.5   625.3   798.2  1013.6  1286.0  1672.0  2083.8 13617.9  49923.2    50000  1715786515865  1715786521178
read      422.3   414.0    63.8   123.9   142.5   273.0   366.5   447.4   536.2   741.8  1043.6  1365.5  1774.4  2240.8  9536.9  54972.6    55000  1715786522684  1715786527983
read      460.1   467.5    59.1   133.4   154.7   306.2   402.8   479.9   553.9   712.3  1076.0  1538.3  2047.7  2713.9  9929.1  59969.8    60000  1715786529489  1715786534801
read      462.1   482.4    59.1   134.3   156.3   306.3   396.6   468.9   542.6   692.0  1057.8  1599.8  2136.0  2957.4 10679.9  65018.4    65000  1715786536305  1715786541599
read      455.0   503.5    63.8   133.1   154.1   292.9   378.2   446.1   511.2   647.6  1058.3  1645.2  2216.9  2982.1 12572.5  70153.0    70000  1715786543103  1715786548414
read      452.6   506.9    63.8   133.2   154.7   292.3   378.4   444.4   509.9   646.5  1023.9  1634.7  2266.9  3088.1 11534.2  74796.2    75000  1715786549919  1715786555214
read      740.5  1159.1    63.8   175.1   216.4   399.0   587.5   773.0  1170.0  1515.5  1720.3  2022.3  3007.6 12451.2 36850.2  76735.8    80000  1715786556719  1715786562018
read      641.5   903.8    59.1   155.6   187.2   360.2   502.3   628.1   806.1  1185.3  1582.5  2019.0  3187.4  8660.0 31076.8  81683.6    85000  1715786563524  1715786568831
read      889.0  1300.4    86.8   247.4   275.3   472.4   741.8  1445.1  1575.2  1688.8  1813.2  2012.3  2947.9 17060.3 32948.6  75347.5    90000  1715786570335  1715786575633
read      868.7  1309.6    80.4   232.4   259.7   455.4   703.8  1413.3  1545.3  1666.8  1787.0  2015.4  2970.8 16797.9 36868.3  76962.7    95000  1715786577137  1715786582430
read      930.5  1372.8    86.8   271.0   297.2   488.8   832.6  1476.8  1618.6  1719.1  1844.6  2046.5  2967.2 18388.7 35400.4  72340.5   100000  1715786583935  1715786589221
read      834.3  1302.2    74.4   229.5   255.2   439.8   638.3  1382.0  1513.0  1637.5  1750.2  1944.6  2912.8 17120.4 34506.1  80289.6   105000  1715786590725  1715786596025
read      890.9  1335.4    93.8   255.7   280.7   474.3   727.4  1438.0  1559.1  1681.2  1806.1  1991.3  2969.3 17172.6 35486.5  75484.0   110000  1715786597530  1715786602822
read      878.5  1125.8    86.8   251.1   276.5   493.1   831.2  1469.3  1596.5  1694.7  1811.6  1998.7  2854.0 12797.5 32343.8  75884.4   115000  1715786604327  1715786609621
read      876.0  1355.0    74.4   249.9   274.0   462.4   702.1  1427.2  1549.2  1670.2  1786.9  1980.8  2918.5 17258.9 35447.5  76969.0   120000  1715786611127  1715786616427
