#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      325.5   493.5    86.8   174.9   202.4   300.0   330.9   347.4   361.3   375.5   398.0   435.4   588.6  6703.9 24917.6   4942.4     5000  1715788256670  1715788262106
read      354.0   339.7    68.9   159.1   182.4   341.2   398.3   427.2   446.9   467.9   495.8   537.1   631.6  4025.9 13969.2   9964.0    10000  1715788263611  1715788268979
read      365.1   278.8    68.9   146.9   171.4   347.2   428.4   467.6   493.9   522.7   556.6   606.6   709.5  1690.7 11300.2  14975.2    15000  1715788270483  1715788275801
read      381.6   285.3    68.9   139.7   166.2   355.1   447.5   497.2   530.6   566.7   608.0   664.8   785.4  1691.9 12944.5  19944.4    20000  1715788277305  1715788282620
read      402.4   276.3    68.9   135.6   162.1   373.3   469.2   525.9   565.3   608.4   657.5   726.5   888.7  1687.9 10791.2  24876.2    25000  1715788284126  1715788289449
read      421.8   313.0    63.8   140.5   168.1   393.9   490.6   547.5   590.6   638.4   692.8   770.2   939.6  1659.8 13875.9  30141.6    30000  1715788290954  1715788296270
read      424.9   271.9    63.8   143.3   171.2   394.0   491.6   549.7   594.3   643.8   703.3   789.0   986.6  1707.6 10106.6  35011.8    35000  1715788297774  1715788303072
read      430.6   268.2    68.9   143.6   171.7   401.4   501.2   561.6   606.1   656.9   717.9   801.7   983.7  1556.7 10257.7  39931.2    40000  1715788304577  1715788309873
read      435.2   284.5    68.9   144.2   172.9   404.5   505.4   567.9   614.4   667.1   730.7   820.3  1007.6  1485.7  7812.2  44846.8    45000  1715788311378  1715788316674
read      433.7   273.5    63.8   143.8   171.8   398.3   497.0   558.5   608.9   667.2   737.9   839.0  1032.1  1476.4  9765.7  49966.2    50000  1715788318179  1715788323481
read      428.9   286.9    63.8   142.2   170.5   391.6   489.9   551.1   600.3   660.5   734.0   838.4  1034.9  1441.7 10071.4  54997.8    55000  1715788324984  1715788330290
read      444.8   298.1    63.8   148.7   179.1   409.8   506.2   565.4   612.5   672.7   753.5   871.2  1080.1  1420.9 12350.3  60187.0    60000  1715788331794  1715788337091
read      451.7   280.0    63.8   151.2   185.4   419.1   513.8   571.0   616.4   674.8   752.6   870.5  1088.9  1445.8 10295.2  64971.8    65000  1715788338595  1715788343883
read      443.4   301.8    63.8   151.5   183.8   406.8   502.3   561.6   608.0   667.2   744.3   858.5  1064.3  1565.9  9855.6  69883.4    70000  1715788345387  1715788350684
read      442.8   287.3    68.9   154.1   189.3   405.9   496.9   552.9   601.2   662.9   743.0   856.9  1058.5  1357.4 10357.1  74953.0    75000  1715788352189  1715788357512
read      621.0   381.4    63.8   210.7   280.3   608.5   682.8   721.8   747.9   799.1   962.7  1245.7  1462.7  1739.5 14692.3  80015.6    80000  1715788359016  1715788364314
read      801.3   435.6    68.9   563.4   600.8   712.5   750.8   785.8   807.6  1040.4  1301.6  1419.4  1569.7  3919.7 17633.6  80945.4    85000  1715788365819  1715788371112
read      789.3   399.1    80.4   565.0   597.1   694.9   740.2   776.2   805.0  1111.9  1278.1  1382.8  1549.6  3981.3 14915.4  82949.4    90000  1715788372616  1715788377926
read      800.8   420.4    86.8   587.3   610.2   704.1   741.1   773.6   801.6  1132.9  1310.9  1403.4  1542.1  3975.3 17707.0  82269.4    95000  1715788379430  1715788384726
