col	#type	cpu_cores	avg	std	min	p5	p10	p50	p67	p75	p80	p85	p90	p95	p99	p999	p9999	QPS	target	ts_start	ts_end
0	read	2	633.8	1608.3	160.7	247.2	276.0	421.8	483.3	528.1	566.6	621.6	712.5	929.2	8559.2	25002.0	37520.7	94616.7	94665	1715948085155.0	1715948095159.2666
1	read	2	396.7	305.8	160.7	218.4	230.8	349.4	435.2	488.3	526.7	570.0	619.6	683.8	830.1	1987.5	10084.3	46999.3	46892	1715948095159.2666	1715948105163.5332
2	read	1	538.2	737.2	173.5	222.9	238.9	453.0	564.7	642.7	701.0	762.2	835.7	939.9	2021.0	7930.6	31424.2	20414.5	20426	1715948105163.5332	1715948115167.7998
3	read	1	610.7	1404.0	173.5	224.9	244.0	439.4	536.6	589.0	624.4	664.5	718.0	857.1	4706.1	28887.0	37481.3	12342.4	12296	1715948115167.7998	1715948125172.0664
4	read	2	389.6	367.0	160.7	215.4	228.3	333.5	400.2	443.0	477.1	521.8	579.8	669.7	1458.1	2850.6	13941.7	73028.7	73018	1715948125172.0664	1715948135176.333
5	read	2	395.7	296.2	160.7	223.7	239.8	352.7	413.4	450.9	480.1	517.8	569.6	655.6	1168.8	2895.1	8056.2	98939.4	98888	1715948135176.333	1715948145180.5996
6	read	2	386.3	300.7	160.7	219.3	232.0	342.5	417.2	462.1	496.9	539.7	591.8	667.8	816.2	1968.0	10117.6	65317.5	65382	1715948145180.5996	1715948155184.8662
7	read	1	500.5	652.9	173.5	230.4	248.3	445.7	530.0	588.8	640.9	697.7	762.4	852.9	1093.8	6437.2	29955.4	15144.9	15090	1715948155184.8662	1715948165189.1328
8	read	2	537.1	760.0	160.7	229.3	246.2	449.3	556.8	627.6	694.9	782.9	875.4	998.2	1467.7	8043.9	32044.6	20990.9	21030	1715948165189.1328	1715948175193.3994
9	read	2	468.4	390.0	160.7	228.6	247.3	387.3	463.5	508.7	545.3	593.7	680.8	960.1	1882.1	2955.3	11329.4	92975.8	93208	1715948175193.3994	1715948185197.666
10	read	2	394.2	264.4	160.7	223.2	238.1	351.0	421.3	464.7	499.2	541.4	595.8	683.2	895.8	2060.4	9751.8	81598.7	81435	1715948185197.666	1715948195201.9326
11	read	2	387.3	292.2	160.7	223.8	239.5	349.8	412.3	451.3	481.0	518.3	568.6	646.1	840.3	2254.3	8937.0	95582.7	95463	1715948195201.9326	1715948205206.1992
12	read	2	400.9	346.4	160.7	220.8	234.2	349.8	428.6	476.6	514.2	560.5	619.1	700.7	919.2	3064.9	13214.8	62710.6	62738	1715948205206.1992	1715948215210.4658
