	#type	cpu_cores	avg	std	min	p5	p10	p50	p67	p75	p80	p85	p90	p95	p99	p999	p9999	QPS	target	ts_start	ts_end
0	read	2	422.9	803.2	173.5	228.6	249.1	376.7	420.6	443.9	461.3	482.0	508.4	557.7	1013.0	10545.4	31136.0	7457.4	7434	1715958568066.0	1715958573069.1943
1	read	2	490.6	988.4	160.7	224.7	240.7	365.8	442.2	491.3	529.7	576.5	637.4	751.4	2838.3	11524.7	35583.3	67167.6	67201	1715958573069.1943	1715958578072.389
2	read	2	383.9	266.0	160.7	222.2	237.3	347.3	411.9	451.3	481.2	518.6	568.6	645.6	824.2	2048.7	7871.7	85972.4	85927	1715958578072.389	1715958583075.583
3	read	2	397.0	387.5	160.7	221.1	235.1	349.3	423.9	468.2	503.9	546.7	600.9	680.1	900.6	2714.9	19288.0	63955.2	63953	1715958583075.583	1715958588078.777
4	read	2	398.7	401.2	160.7	215.8	228.6	354.2	441.8	493.4	528.1	564.7	605.4	663.5	866.7	1723.7	17014.4	31713.0	31595	1715958588078.777	1715958593081.9717
5	read	2	371.7	312.4	160.7	216.8	229.9	330.9	391.6	427.4	455.6	491.3	539.8	617.1	858.2	2470.5	14723.8	87834.6	87879	1715958593081.9717	1715958598085.166
6	read	1	503.3	1261.1	173.5	232.2	252.6	381.7	433.1	462.9	485.0	510.1	544.6	607.8	3891.6	28072.2	36982.1	7395.6	7287	1715958598085.166	1715958603088.3604
7	read	2	425.9	438.5	173.5	220.2	233.8	352.5	428.7	476.3	515.6	566.1	631.0	757.3	1606.4	4948.4	12870.9	62563.8	62295	1715958603088.3604	1715958608091.5547
8	read	1	440.6	1006.5	173.5	233.4	254.2	364.1	407.6	433.0	453.0	475.1	505.3	555.9	2443.5	14777.1	36670.8	6503.2	6561	1715958608091.5547	1715958613094.749
9	read	1	551.3	872.1	160.7	220.4	234.9	427.4	558.0	650.0	716.8	784.0	860.3	976.2	2962.7	9068.8	35311.2	22420.0	22532	1715958613094.749	1715958618097.9434
10	read	2	415.6	388.0	160.7	217.4	230.6	343.2	415.8	464.4	506.5	559.1	627.7	775.6	1544.1	3789.2	12601.3	60630.0	60653	1715958618097.9434	1715958623101.1377
11	read	2	391.7	325.2	160.7	217.4	230.3	344.8	421.2	466.8	503.8	547.5	601.8	679.3	894.5	2050.4	12711.0	58997.0	59076	1715958623101.1377	1715958628104.332
12	read	2	395.6	326.3	160.7	220.3	233.9	350.1	428.5	474.4	510.3	553.1	605.2	680.7	860.4	2057.1	15007.8	60205.0	60154	1715958628104.332	1715958633107.5264
13	read	1	492.8	671.0	160.7	219.4	233.4	417.1	524.1	583.8	635.9	705.6	789.8	910.3	1242.6	7983.2	31933.9	22900.6	22964	1715958633107.5264	1715958638110.7207
14	read	1	479.5	943.5	173.5	231.4	253.3	403.9	465.1	500.3	525.8	554.5	593.5	671.2	2083.3	12778.8	32489.7	8114.6	8172	1715958638110.7207	1715958643113.915
15	read	2	439.4	475.7	160.7	218.6	231.9	378.8	476.2	528.9	563.7	603.6	666.7	842.3	1200.1	3780.4	29240.3	27489.8	27652	1715958643113.915	1715958648117.1094
16	read	2	409.4	347.3	160.7	218.7	231.8	369.8	456.4	508.1	544.5	583.4	629.5	694.1	849.4	1614.8	12771.1	37512.6	37594	1715958648117.1094	1715958653120.3037
17	read	2	436.7	523.1	173.5	221.8	236.4	390.5	483.4	530.0	561.5	597.5	647.4	753.0	1021.2	3249.2	29619.8	24215.6	24367	1715958653120.3037	1715958658123.498
18	read	2	410.8	382.7	160.7	221.3	235.2	368.6	457.8	509.2	544.5	581.0	623.1	682.0	824.3	2350.1	21141.3	33637.8	33771	1715958658123.498	1715958663126.6924
19	read	2	378.2	232.5	160.7	220.2	234.3	343.5	407.7	447.2	476.4	513.5	563.0	637.7	798.8	1733.2	7750.5	84944.6	84944	1715958663126.6924	1715958668129.8867
20	read	2	382.8	256.1	160.7	220.7	235.0	346.8	412.3	452.0	481.9	519.1	568.9	645.9	821.3	2008.1	7686.3	85531.2	85666	1715958668129.8867	1715958673133.081
21	read	2	413.2	355.8	160.7	221.2	235.2	366.2	451.1	501.3	538.9	582.4	635.1	716.8	922.7	2967.3	15867.8	52006.6	51918	1715958673133.081	1715958678136.2754
22	read	2	410.7	327.8	160.7	218.6	231.1	371.6	457.6	509.0	545.4	584.3	632.3	700.6	868.2	1757.1	11927.2	34288.2	34406	1715958678136.2754	1715958683139.4695
23	read	2	417.3	358.5	160.7	220.5	234.0	375.6	466.6	518.0	550.6	585.6	627.4	688.1	926.0	3351.3	17497.3	28572.6	28664	1715958683139.4695	1715958688142.664
24	read	2	417.3	455.8	160.7	220.9	234.4	368.0	453.5	506.2	545.5	587.1	636.0	705.4	916.6	3473.5	29071.1	38333.4	38289	1715958688142.664	1715958693145.8584
25	read	1	580.2	1032.2	160.7	222.9	238.2	435.1	556.8	639.4	714.5	799.9	897.9	1052.8	3242.0	12648.0	32437.5	20519.6	20658	1715958693145.8584	1715958698149.0527
26	read	1	534.2	836.0	173.5	223.6	241.0	443.8	547.2	610.9	656.2	706.9	769.7	870.2	2777.0	7476.9	31934.4	13833.8	13840	1715958698149.0527	1715958703152.247
27	read	2	569.1	507.0	160.7	245.8	272.9	447.4	534.7	601.5	665.3	756.4	908.8	1587.2	2015.5	4871.2	15223.1	93114.6	93419	1715958703152.247	1715958708155.4414
