col	#type	cpu_cores	avg	std	min	p5	p10	p50	p67	p75	p80	p85	p90	p95	p99	p999	p9999	QPS	target	ts_start	ts_end
0	read	1	364.5	533.5	173.5	229.9	249.0	346.6	375.8	391.4	401.1	414.6	430.0	457.9	539.4	7284.4	29219.5	7415.8	7434	1715957349212.0	1715957359217.578
1	read	2	391.8	328.7	160.7	220.1	233.4	342.1	412.7	455.7	489.7	533.0	586.4	667.7	976.4	3221.9	12002.8	67178.5	67201	1715957359217.578	1715957369223.1558
2	read	2	370.3	268.3	160.7	219.8	232.9	334.9	395.9	432.5	461.6	498.3	546.3	621.9	789.9	1646.1	8548.6	85968.9	85927	1715957369223.1558	1715957379228.7336
3	read	2	380.7	271.2	160.7	215.2	228.0	337.5	408.8	452.8	487.8	531.7	584.5	659.9	840.8	1881.7	10091.8	63849.2	63953	1715957379228.7336	1715957389234.3115
4	read	2	390.4	357.0	160.7	213.1	226.0	343.7	432.1	481.9	516.7	552.2	589.8	641.0	813.0	2935.8	14260.3	31605.5	31595	1715957389234.3115	1715957399239.8894
5	read	2	364.9	254.0	160.7	216.0	228.7	326.1	384.6	419.8	447.3	482.9	532.7	609.6	838.4	2141.9	9064.1	88106.9	87879	1715957399239.8894	1715957409245.4673
6	read	1	486.4	1182.8	173.5	226.2	246.8	372.9	426.3	456.4	477.8	504.2	538.9	606.1	3570.3	25421.4	35452.2	7303.9	7287	1715957409245.4673	1715957419251.0452
7	read	2	400.6	341.7	160.7	220.0	233.3	344.6	419.6	465.7	503.5	550.3	609.6	699.4	1228.5	2688.4	10177.8	62286.7	62295	1715957419251.0452	1715957429256.623
8	read	1	430.3	748.4	173.5	241.0	263.7	373.7	419.2	446.1	466.7	492.2	524.6	581.1	1237.0	9473.5	31663.8	6571.3	6561	1715957429256.623	1715957439262.201
9	read	2	469.3	532.1	173.5	220.2	233.9	396.7	498.5	552.8	593.6	661.2	775.6	933.2	1206.5	5477.7	28415.5	22475.2	22532	1715957439262.201	1715957449267.7788
10	read	2	400.7	334.3	160.7	220.6	234.2	346.9	422.1	467.8	505.5	551.9	610.5	697.7	1211.6	2085.6	12396.5	60599.1	60653	1715957449267.7788	1715957459273.3567
11	read	2	389.4	297.5	160.7	218.9	231.4	347.9	423.2	467.5	503.5	546.4	598.0	672.6	827.9	1902.2	11207.2	59092.8	59076	1715957459273.3567	1715957469278.9346
12	read	2	394.5	352.9	160.7	218.1	230.3	346.5	422.5	467.5	504.5	548.4	603.1	683.7	908.7	2578.7	13912.0	60215.4	60154	1715957469278.9346	1715957479284.5125
13	read	1	508.3	770.4	173.5	223.1	238.0	403.9	513.6	573.5	623.3	703.2	818.4	972.8	1711.7	10880.9	30885.7	22922.1	22964	1715957479284.5125	1715957489290.0903
