Random waveform, supplied seed
Total number of intervals = 150 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682)
Average QPS expected = 50033
Timestamp start: 1715964404597
Timestamp end: 1715965305129

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      430.6   929.9   173.5   228.9   248.8   373.4   417.7   440.9   458.3   478.4   508.0   564.1  1013.7 11606.2 32458.5   7394.3     7434
read      410.0   352.0   160.7   219.6   232.3   340.5   408.7   453.7   490.8   538.5   603.6   732.6  1657.5  3778.4  9900.8  67076.2    67201
read      365.1   207.9   160.7   218.0   230.3   329.5   390.0   426.8   455.8   492.4   541.6   620.7   796.8  1585.2  7713.1  86001.0    85927
read      381.7   260.9   160.7   218.5   230.3   336.4   409.7   456.4   492.9   536.5   589.9   665.9   846.5  1797.6  7945.7  64091.7    63953
read      380.3   330.1   160.7   211.3   223.6   335.3   423.2   474.1   508.9   544.4   583.3   633.4   774.1  1633.3 10318.2  31534.2    31595
read      362.8   259.6   160.7   214.4   226.9   322.8   380.9   415.7   443.3   479.3   531.1   613.3   869.3  2198.9  7968.2  87784.2    87879
read      419.9   783.7   173.5   231.0   250.7   371.9   421.5   449.2   468.1   492.0   521.0   566.4   738.0  9858.0 31844.0   7313.7     7287
read      392.3   309.1   160.7   215.8   227.9   331.4   401.4   449.1   488.7   538.4   603.3   701.8  1310.7  2144.5 11587.0  62267.0    62295
read      395.4   692.8   173.5   225.3   245.5   353.7   395.9   420.6   437.8   459.9   487.9   532.2   697.6  8030.8 30154.0   6585.8     6561
read      470.6   529.1   173.5   215.3   229.1   403.0   510.9   574.9   629.5   703.3   790.5   906.3  1124.5  4561.4 28456.2  22478.7    22532
read      415.2   409.9   160.7   220.1   233.4   348.5   425.5   474.2   513.4   563.0   627.0   744.1  1395.4  3811.4 15960.7  60699.3    60653
read      391.9   266.1   160.7   220.3   232.9   344.1   421.7   469.7   507.0   551.8   607.4   686.1   907.4  1691.7 10127.3  59160.8    59076
read      390.7   308.4   160.7   220.7   233.6   344.3   421.3   468.3   505.6   549.5   603.8   683.0   877.2  1561.4 12241.7  59964.2    60154
read      461.7   401.1   173.5   219.8   233.3   394.1   497.5   553.6   598.1   669.3   795.5   963.3  1187.3  2357.9 20179.3  23056.2    22964
read      436.1   580.3   173.5   232.9   255.5   402.2   465.0   501.8   527.6   555.3   589.8   639.2   785.0  6170.6 30182.1   8101.2     8172
read      427.2   390.3   173.5   219.3   232.0   370.8   464.2   515.7   551.1   592.9   651.2   807.1  1173.8  1678.7 16402.9  27653.8    27652
read      402.0   521.6   173.5   218.3   230.2   360.4   445.4   495.1   530.7   570.7   618.7   689.5   866.7  1542.5 10383.2  37539.3    37594
read      459.8   470.6   173.5   221.1   235.1   386.1   490.0   547.1   590.8   657.3   788.8   966.9  1208.7  3195.2 24567.0  24424.2    24367
read      428.0   462.8   160.7   218.6   230.5   360.6   451.1   507.5   548.4   596.4   656.9   804.8  1264.8  3394.2 28447.2  33706.7    33771
read      381.8   296.9   160.7   220.1   233.0   338.3   402.6   442.9   473.8   513.7   568.7   652.9   870.8  3114.6 11064.5  85089.0    84944
read      381.8   307.6   160.7   219.0   231.4   335.2   398.6   438.0   469.7   510.3   566.0   650.0   935.1  3123.5  8242.9  85677.7    85666
read      396.9   354.8   160.7   219.1   230.9   346.0   425.0   472.7   510.9   557.6   613.9   689.3   925.9  2388.3 16982.3  52078.5    51918
read      400.0   321.4   160.7   218.7   230.4   354.8   440.6   492.7   529.9   570.1   615.1   677.3   865.7  2328.1 12599.0  34426.3    34406
read      401.9   393.2   160.7   216.5   228.8   361.4   447.4   496.8   530.2   566.2   607.7   668.3   860.5  1801.4 24421.1  28654.2    28664
read      400.7   348.0   160.7   216.4   228.4   354.3   435.3   485.9   524.0   566.7   616.0   683.6   910.4  3143.4 12434.9  38359.7    38289
read      481.9   439.3   160.7   219.5   232.9   416.5   530.8   602.4   669.4   747.3   831.7   938.3  1123.0  1685.0 23226.5  20639.8    20658
read      472.2   455.2   173.5   225.3   243.8   434.5   524.6   578.5   615.9   658.6   713.4   791.0   940.9  4206.9 28181.5  13889.8    13840
read      438.7   368.0   160.7   224.6   240.8   367.1   436.8   479.4   512.7   557.7   624.5   790.8  1849.8  3254.0  8298.1  93373.0    93419
read      374.6   266.9   160.7   221.1   234.8   336.5   392.9   426.9   453.7   487.7   535.3   613.9   864.0  3240.7  8040.6  98379.3    98284
read      379.6   338.9   160.7   219.1   230.9   333.7   400.0   441.1   473.7   515.1   570.9   652.0   881.4  2352.9 15103.4  71348.3    71313
read      400.0   359.9   160.7   219.2   230.9   352.1   433.9   484.8   522.8   566.7   618.2   686.2   894.9  2488.0 15919.3  42152.0    42089
