
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      305.6   384.6    86.8   159.2   185.6   282.9   312.7   329.1   340.9   356.0   374.5   414.4   594.5  5881.1 13473.6   4920.4     5000  1715792654856  1715792660276
read      342.4   299.7    74.4   148.9   172.3   327.2   383.5   414.4   434.5   457.7   485.4   528.5   652.0  3776.3 11978.0   9920.8    10000  1715792661781  1715792667158
read      363.8   236.6    68.9   140.3   162.5   340.4   423.2   469.3   501.3   534.8   574.0   630.1   764.5  1734.4  9106.3  15101.2    15000  1715792668661  1715792673979
read      396.9   374.7    68.9   140.3   162.9   354.4   458.9   523.8   568.6   615.4   669.9   746.1   929.7  2009.9 13965.0  19942.8    20000  1715792675483  1715792680803
read      399.1   318.6    63.8   129.9   152.1   337.8   464.6   547.6   601.6   656.5   720.4   813.9  1014.4  1812.3 10324.8  24949.4    25000  1715792682307  1715792687629
read      420.5   315.2    63.8   129.2   150.8   328.4   469.0   577.9   656.0   734.6   828.3   960.6  1163.5  1685.3  8136.1  30109.8    30000  1715792689133  1715792694445
read      423.6   365.6    63.8   126.1   147.2   311.5   455.6   568.8   667.6   765.7   881.9  1038.9  1260.9  1774.4 10763.5  35020.8    35000  1715792695950  1715792701243
read      426.1   385.5    63.8   125.2   145.2   294.7   414.3   526.5   661.1   819.3   974.1  1137.1  1376.8  1758.5 10248.1  40051.6    40000  1715792702747  1715792708042
read      424.2   380.4    59.1   123.2   143.3   286.5   393.4   494.9   620.1   821.8  1021.9  1206.5  1482.6  1975.4  7663.0  45158.8    45000  1715792709547  1715792714854
read      422.1   397.5    63.8   126.1   144.7   277.7   372.2   466.1   574.2   800.6  1037.9  1266.1  1609.4  2139.9  9965.7  50052.8    50000  1715792716358  1715792721673
read      429.0   433.5    63.8   129.9   148.8   278.2   363.7   433.6   515.4   742.3  1112.3  1390.9  1773.8  2232.7 10209.5  55030.8    55000  1715792723178  1715792728498
read      437.6   467.7    63.8   130.3   150.1   289.3   381.4   454.1   526.0   678.4  1042.2  1440.0  1933.2  2531.4 13519.4  59822.2    60000  1715792730002  1715792735314
read      441.8   468.2    63.8   132.0   152.3   291.4   379.0   445.7   506.1   623.4  1045.6  1534.7  2034.8  2653.8 12290.7  64829.8    65000  1715792736818  1715792742127
read      436.0   466.1    63.8   131.1   151.1   283.1   367.5   434.1   499.9   631.8  1026.9  1512.0  2062.0  2842.3 10165.7  70068.2    70000  1715792743631  1715792748947
read      434.2   465.4    63.8   131.0   150.9   281.0   362.5   426.8   489.6   616.6  1009.6  1539.6  2148.9  2843.0  8992.6  74822.0    75000  1715792750451  1715792755758
read      480.9   585.0    63.8   138.4   160.0   301.0   392.4   466.6   544.5   710.0  1072.4  1765.3  2380.2  3870.5 17159.2  79804.0    80000  1715792757262  1715792762561
read      760.0  1058.3    63.8   180.1   216.7   403.0   626.6   981.9  1400.4  1573.5  1734.4  2005.2  2942.8  9631.6 32190.5  78345.0    85000  1715792764065  1715792769365
read      770.2   899.8    68.9   203.4   233.6   410.4   637.3  1331.3  1488.4  1600.3  1726.3  1934.4  2719.1  9999.6 29290.2  81748.4    90000  1715792770869  1715792776168
read      853.9  1083.5    74.4   235.2   261.1   480.8   743.2  1450.9  1571.1  1674.2  1784.4  1981.6  2864.1 12797.4 31946.7  77807.6    95000  1715792777673  1715792782977
read      896.1  1286.0    80.4   256.1   281.4   495.6   747.8  1461.0  1589.2  1695.5  1814.2  2000.6  2933.2 16999.4 35527.3  74577.8   100000  1715792784482  1715792789782
read      875.6  1266.9    68.9   244.9   271.4   485.3   711.0  1436.9  1566.2  1681.2  1797.6  1986.6  2911.6 15127.9 32308.6  76286.8   105000  1715792791287  1715792796582
read      864.7  1107.7    80.4   244.6   269.6   496.8   761.7  1454.9  1579.4  1683.4  1793.7  1976.4  2842.7 12973.6 31898.5  76931.8   110000  1715792798086  1715792803378
read      851.1  1298.0    80.4   239.6   263.0   470.5   658.4  1410.3  1530.9  1654.6  1767.2  1941.4  2915.6 16586.1 36385.2  78909.6   115000  1715792804884  1715792810180
read      892.2  1142.5    68.9   258.4   283.0   518.9   854.7  1476.7  1608.8  1708.2  1822.2  1994.6  2870.5 13788.9 31999.3  74604.0   120000  1715792811684  1715792816978
read      846.4  1305.1    63.8   231.1   256.4   460.4   657.9  1388.9  1526.9  1645.8  1747.2  1962.9  2888.7 17165.5 36184.9  79365.6   125000  1715792818482  1715792823778
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.43%,58.29%,100.00%
