#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      307.7   504.2    86.8   168.5   192.9   280.9   305.9   318.9   329.6   341.3   358.6   390.7   592.5  7822.6 19940.7   4925.0     5000  1715792105757  1715792111191
read      317.4   237.7    80.4   154.6   175.3   315.0   355.6   376.1   390.8   405.8   426.5   456.6   538.9  2693.6 10230.0  10060.6    10000  1715792112696  1715792118058
read      330.8   452.2    74.4   138.5   159.2   317.3   378.9   407.0   425.3   445.2   468.1   504.6   600.1  5199.8 25032.9  14931.0    15000  1715792119563  1715792124880
read      336.4   313.4    68.9   128.6   149.3   317.8   400.5   438.5   461.0   485.9   514.4   556.6   676.2  3492.4 12599.0  19973.8    20000  1715792126385  1715792131704
read      330.5   232.4    63.8   128.5   148.8   304.8   395.6   440.6   468.3   497.2   529.6   573.7   672.0  1712.6  8978.9  24927.4    25000  1715792133207  1715792138528
read      330.2   247.5    68.9   130.8   151.0   296.6   385.6   438.9   471.0   503.6   540.0   587.9   685.8  1700.1 12344.5  29971.2    30000  1715792140032  1715792145360
read      335.5   220.5    68.9   126.1   146.2   304.8   390.7   443.3   477.7   514.9   556.0   612.7   732.0  1540.0  7968.3  35069.2    35000  1715792146864  1715792152160
read      341.5   222.8    63.8   122.6   143.5   316.5   399.4   449.2   484.1   523.1   568.0   628.1   759.0  1625.7  4915.9  40244.2    40000  1715792153665  1715792158968
read      340.7   234.8    63.8   123.2   143.2   313.3   398.3   448.9   484.7   524.4   570.0   631.4   747.5  1641.3 10063.8  44996.4    45000  1715792160473  1715792165790
read      332.6   222.5    68.9   122.4   141.9   304.7   385.9   435.5   472.6   513.7   560.7   621.9   735.3  1150.6  8427.1  50040.4    50000  1715792167295  1715792172596
read      344.9   203.7    68.9   123.6   143.6   320.0   405.5   454.8   489.5   528.7   575.6   641.0   784.7  1388.3  4314.6  55049.3    55000  1715792174101  1715792179397
read      341.8   242.7    63.8   124.0   143.6   314.3   399.1   447.2   481.3   520.9   569.4   637.7   794.7  1381.1 10165.1  59851.2    60000  1715792180902  1715792186200
read      334.5   220.1    63.8   127.7   146.2   303.6   387.1   436.3   471.7   512.7   562.0   628.0   752.0  1707.4  8879.9  64943.0    65000  1715792187705  1715792193009
read      337.2   211.7    63.8   125.7   145.1   307.3   391.6   440.6   477.0   519.6   570.1   637.7   778.3  1268.5  8017.9  70033.0    70000  1715792194513  1715792199808
read      354.9   211.5    63.8   129.6   151.3   324.8   411.6   461.2   497.8   541.3   595.5   677.8   851.1  1281.9  6424.7  74914.4    75000  1715792201313  1715792206608
read      355.4   229.6    63.8   129.2   150.8   320.1   409.8   461.8   499.2   543.5   599.8   687.7   913.8  1330.1  7111.4  79699.5    80000  1715792208113  1715792213406
read      338.6   227.3    63.8   128.6   148.5   303.1   386.4   435.7   472.6   517.0   573.6   654.7   827.4  1296.4  8353.9  84702.4    85000  1715792214911  1715792220208
read      352.1   237.5    63.8   130.7   152.8   317.7   401.3   451.2   487.8   531.9   587.8   676.8   876.2  1455.3  9698.4  89972.8    90000  1715792221712  1715792227008
read      327.0   222.2    63.8   125.0   144.7   292.0   370.0   418.1   454.3   497.8   553.0   636.7   823.2  1188.2  8758.7  94678.2    95000  1715792228513  1715792233815
read      340.4   195.8    59.1   132.6   154.4   309.6   385.8   432.6   468.4   511.8   569.2   654.4   823.9  1124.4  5314.1  99687.8   100000  1715792235320  1715792240620
read      349.9   290.6    63.8   138.7   161.7   317.3   393.7   440.2   475.4   519.0   575.7   660.8   835.2  1268.3 10222.1 105058.2   105000  1715792242125  1715792247424
read      341.6   229.3    63.8   137.1   160.1   309.6   382.7   428.3   463.1   506.3   563.3   645.5   808.0  1095.4  8667.3 109779.0   110000  1715792248929  1715792254227
read      388.9   232.3    63.8   141.7   169.9   354.1   439.6   486.9   522.5   568.3   637.4   783.7  1024.4  1303.8  5959.9 114715.0   115000  1715792255732  1715792261020
read      398.0   248.4    63.8   148.5   179.7   364.8   443.6   489.8   526.4   576.0   653.1   786.1  1004.2  1290.0  7989.6 119396.6   120000  1715792262525  1715792267823
read      499.5   246.8    68.9   262.5   308.1   445.5   506.3   570.6   654.0   736.3   809.2   893.1  1018.3  1288.3  9658.0 122039.0   125000  1715792269327  1715792274624
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.43%,53.27%,100.00%
