Random waveform, random seed
Total number of intervals = 120 (99406, 24285, 82162, 67101, 29792, 90015, 78908, 7965, 56094, 96068, 62781, 6278, 17625, 51920, 60823, 67243, 28930, 56811, 79125, 36504, 45858, 12840, 15678, 18327, 73062, 75598, 33489, 95384, 71227, 24580, 92676, 64631, 22097, 72215, 85691, 84300, 83184, 47923, 46376, 79452, 30939, 90290, 56782, 70973, 29918, 22019, 92969, 53574, 15563, 77251, 77488, 80601, 43143, 92935, 41525, 56584, 68430, 29618, 20253, 54044, 36356, 25335, 45608, 94515, 96088, 21168, 31679, 77275, 13913, 81885, 69013, 50591, 55208, 27443, 40205, 23676, 97941, 9419, 81636, 52172, 11963, 84276, 61629, 17214, 85401, 66228, 75792, 77538, 57023, 43148, 83049, 46405, 97480, 58089, 86149, 95380, 9062, 73996, 7726, 30279, 15407, 22747, 61063, 99274, 89397, 60373, 97850, 94214, 76570, 45596, 78926, 9784, 50196, 57907, 70899, 8071, 39327, 76665, 23319, 80219)
Average QPS expected = 55884
Timestamp start: 1715952266292
Timestamp end: 1715953466813

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      640.8  1541.3   160.7   273.1   308.0   438.2   521.5   589.2   644.4   711.2   792.0   912.7  7498.1 23494.0 36944.7  99398.4    99406
read      474.5   561.5   160.7   218.9   232.0   403.8   506.4   558.3   600.4   664.8   768.0   917.4  1247.1  6249.0 28908.7  24192.9    24285
read      395.6   312.3   160.7   216.4   229.8   341.7   410.2   453.4   486.6   528.3   584.5   682.5  1385.0  2874.4 10372.3  82108.6    82162
read      392.8   271.2   160.7   216.0   229.1   343.3   421.4   467.7   503.5   546.9   602.8   684.4   989.0  2396.9  8585.8  67197.9    67101
read      404.0   392.4   160.7   210.4   223.5   360.7   461.5   511.1   542.4   576.4   615.6   672.2   855.2  1960.7 26433.4  29809.7    29792
read      382.3   296.3   160.7   216.7   229.9   340.5   405.6   446.1   476.2   513.9   564.8   644.5   921.0  2421.7  9016.5  90035.0    90015
read      397.0   318.9   160.7   219.2   232.7   351.5   425.5   469.1   502.9   543.5   595.8   682.5   966.0  2503.1 10361.4  78959.3    78908
read      450.8   746.1   173.5   236.2   257.2   402.2   465.8   501.2   526.5   554.3   589.9   643.9   996.2  7809.9 36606.0   7946.8     7965
read      415.4   364.4   160.7   223.4   238.4   367.2   451.8   500.4   537.3   581.0   634.1   717.1  1011.4  1952.1 20279.1  56141.6    56094
read      398.6   264.4   160.7   227.3   245.1   368.0   431.0   468.4   497.6   533.3   581.2   659.0   840.3  1569.3 10204.2  95898.7    96068
read      402.4   301.2   160.7   221.3   235.6   360.8   441.9   488.5   522.7   563.1   614.5   689.4   867.5  1860.4 10737.2  62867.8    62781
read      474.0  1190.2   173.5   235.4   258.1   381.9   433.2   462.1   482.8   506.3   539.4   595.3  2237.2 27979.4 37017.3   6289.1     6278
read      576.1  1060.9   160.7   226.3   243.2   453.8   571.2   650.3   703.5   758.2   829.1   938.1  3078.2 15529.1 32469.0  17468.3    17625
read      440.6   465.1   160.7   219.9   233.3   369.9   461.1   517.0   558.9   610.2   678.1   804.4  1468.7  4412.4 28161.5  51774.5    51920
read      420.8   374.2   160.7   219.9   233.1   362.7   448.0   498.1   535.9   582.0   642.1   742.7  1332.4  3176.6 15144.7  60801.7    60823
read      407.7   392.7   160.7   220.7   234.6   357.4   435.3   482.4   517.7   561.3   619.3   709.8   978.2  3351.6 20733.2  67275.9    67243
read      424.1   490.4   173.5   220.5   233.8   379.1   478.1   526.9   558.5   593.1   633.9   693.6   904.3  3271.8 29423.8  28985.6    28930
read      415.1   360.2   160.7   220.4   233.9   365.1   450.7   500.7   538.4   583.9   640.2   727.2   980.2  2816.7 13163.7  56800.4    56811
read      403.1   321.5   160.7   220.1   234.1   353.7   428.0   472.3   507.0   548.5   605.3   694.9  1033.2  3280.5 10329.9  79156.2    79125
read      422.2   399.8   160.7   219.9   233.1   373.8   467.6   521.4   558.1   599.1   646.5   719.3   953.8  3622.9 18570.4  36448.2    36504
read      418.9   401.9   160.7   221.3   235.1   368.7   457.7   510.0   549.1   594.7   647.5   724.1   938.2  3310.6 23932.0  45865.7    45858
read      519.4   932.0   173.5   227.7   246.3   433.9   518.6   575.3   615.5   658.9   710.7   790.3  2168.2 12708.1 35936.4  12828.3    12840
read      527.7   678.0   160.7   223.4   240.7   452.3   558.6   626.4   671.7   720.3   781.8   892.4  1841.9  7829.8 30274.9  15668.2    15678
read      542.7   821.3   173.5   219.0   233.2   448.8   565.7   648.0   701.7   755.0   825.1   937.2  2180.8  9006.6 32152.2  18323.2    18327
