Total number of intervals = 120 (38537, 8757, 78620, 94815, 9043, 32520, 67169, 25283, 40908, 58210, 42283, 67160, 72673, 85920, 42244, 80370, 52972, 72725, 17334, 99335, 61160, 23164, 44177, 84487, 87462, 28320, 62767, 58097, 36447, 30033, 54655, 49157, 75223, 12933, 50191, 65588, 52615, 50267, 15819, 97313, 97069, 74437, 6647, 41433, 37116, 72054, 42283, 76629, 72881, 74346, 85070, 9876, 74470, 79009, 80351, 19572, 97199, 72134, 67746, 38193, 15378, 7463, 81983, 97643, 39174, 69450, 70716, 74466, 14774, 15647, 67132, 74061, 44164, 57954, 16205, 34212, 93366, 76855, 85485, 48693, 76364, 97393, 17072, 78483, 85339, 62001, 11217, 85231, 55026, 17973, 7501, 61139, 57490, 94603, 54500, 8619, 40349, 59193, 28429, 80508, 7224, 58072, 99473, 9136, 86517, 96968, 88617, 60045, 5644, 6829, 69927, 24774, 26778, 84851, 27787, 32539, 87834, 97787, 80356, 17647)
Average QPS expected = 54811
Timestamp start: 1715887986329
Timestamp end: 1715889186867

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      450.0   415.4   173.5   224.4   239.4   365.5   457.2   522.8   571.4   626.7   704.6   963.5  1450.4  3591.8 14948.6  38503.5    38537
read      400.0   408.8   187.4   242.3   260.6   378.8   418.0   437.2   452.9   468.5   490.7   523.0   678.1  7066.7 16335.9   8798.2     8757
read      403.6   298.9   160.7   226.8   242.0   357.1   427.9   470.9   504.1   543.7   594.7   676.1   948.7  3350.7 10651.3  78518.1    78620
read      384.6   183.9   160.7   226.6   242.3   354.9   417.7   455.1   483.2   516.9   561.2   629.6   780.8  1603.6  7249.0  94719.5    94815
read      422.6   424.6   173.5   238.1   256.3   397.2   452.9   482.2   500.8   522.8   547.8   589.9   745.9  5911.6 17304.2   9028.0     9043
read      419.3   244.8   173.5   224.5   239.7   369.1   467.3   524.0   560.3   599.1   642.6   710.6   990.5  1919.6  8706.0  32587.6    32520
read      394.2   197.3   160.7   223.8   238.2   355.1   431.9   477.8   511.5   551.9   602.8   673.6   808.6  1743.6  7654.7  67107.4    67169
read      431.6   384.7   173.5   223.8   238.3   369.5   478.7   531.0   564.8   601.3   646.2   735.3  1106.8  4997.7 10922.8  25366.7    25283
read      413.0   263.1   173.5   222.3   236.7   364.4   448.7   503.3   543.3   588.3   638.9   707.1   951.9  2628.8  9836.2  40841.6    40908
read      402.8   261.3   160.7   222.3   236.2   356.8   434.2   482.4   519.0   563.3   618.3   690.4   909.5  2831.7  8172.1  58138.7    58210
read      405.8   230.8   160.7   223.0   237.4   361.4   440.7   493.8   532.9   577.6   628.0   691.5   870.3  2330.8  8276.8  42252.5    42283
read      396.7   262.3   160.7   223.5   237.7   351.5   424.6   468.1   502.0   543.1   595.9   673.7   896.8  3072.5  8043.2  67138.5    67160
read      397.1   292.1   160.7   224.3   238.6   351.5   423.3   466.4   499.8   539.8   591.1   669.3   885.4  3180.1  9678.6  72665.4    72673
read      393.7   279.6   160.7   224.3   239.0   351.3   416.2   455.4   485.5   522.1   571.1   647.0  1005.8  3562.4  8220.4  86005.4    85920
read      411.0   328.4   173.5   223.9   238.5   362.6   441.4   494.3   533.1   577.3   628.7   693.3   900.7  2950.6 12448.1  42198.3    42244
read      394.7   249.1   173.5   224.8   239.5   351.9   420.3   461.9   494.1   533.1   584.1   662.2   921.6  2938.2  7806.8  80268.1    80370
read      408.1   585.6   173.5   224.0   238.4   360.6   436.7   484.9   521.7   565.7   618.9   688.5   888.0  3232.7 11523.1  52890.2    52972
read      397.5   284.6   160.7   223.8   238.2   352.1   423.9   467.1   500.9   541.4   593.8   674.9   919.6  2903.0  9730.0  72788.0    72725
